Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,10.780000,12.290000,10.200000,10.430000,10.430000,34199136
2015-12-01,10.430000,10.950000,9.820000,10.210000,10.210000,28381470
2016-01-01,10.210000,10.210000,6.985000,7.850000,7.850000,44489456
2016-02-01,7.700000,8.440000,6.810000,7.220000,7.220000,50107613
2016-03-01,7.300000,9.390000,7.180000,8.960000,8.960000,55615641
2016-04-01,8.870000,9.750000,8.050000,9.330000,9.330000,31470637
2016-05-01,9.450000,9.890000,9.200000,9.630000,9.630000,30090447
2016-06-01,9.600000,10.490000,8.170000,8.890000,8.890000,31103818
2016-07-01,8.890000,9.700000,8.560000,8.990000,8.990000,21023701
2016-08-01,8.990000,9.210000,8.660000,8.960000,8.960000,18501176
2016-09-01,8.950000,10.650000,8.840000,10.600000,10.600000,47351491
2016-10-01,10.650000,13.150000,10.650000,12.650000,12.650000,39820505
2016-11-01,12.730000,14.440000,11.600000,13.500000,13.500000,37500766
2016-12-01,13.610000,14.850000,13.610000,13.670000,13.670000,19080956
2017-01-01,13.670000,14.240000,13.260000,13.370000,13.370000,21884921
2017-02-01,13.490000,14.430000,13.060000,13.380000,13.380000,27857627
2017-03-01,13.580000,14.060000,12.720000,13.800000,13.800000,27559838
2017-04-01,13.800000,13.900000,12.970000,12.990000,12.990000,16549052
2017-05-01,13.000000,18.055000,12.490000,17.799999,17.799999,44330004
2017-06-01,17.700001,18.100000,16.680000,17.379999,17.379999,21796363
2017-07-01,17.379999,20.930000,17.200001,19.830000,19.830000,22791889
2017-08-01,22.000000,23.990000,20.620001,23.340000,23.340000,42602554
2017-09-01,23.240000,27.680000,21.799999,26.240000,26.240000,47447373
2017-10-01,26.230000,28.700001,25.150000,25.559999,25.559999,34112608
2017-11-01,25.820000,25.870001,21.760000,24.590000,24.590000,44233327
2017-12-01,24.620001,26.000000,23.799999,25.879999,25.879999,24615983
2018-01-01,25.879999,26.240000,22.520000,23.910000,23.910000,60699758
2018-02-01,23.730000,27.480000,22.049999,27.059999,27.059999,28899818
2018-03-01,26.959999,29.110001,25.799999,26.770000,26.770000,37224143
2018-04-01,26.809999,26.809999,24.600000,25.240000,25.240000,20188059
2018-05-01,25.480000,25.559999,22.549999,22.969999,22.969999,24456008
2018-06-01,23.049999,23.980000,20.330000,21.250000,21.250000,23562229
2018-07-01,21.250000,24.355000,20.629999,23.530001,23.530001,25773175
2018-08-01,23.570000,27.330000,23.120001,26.820000,26.820000,23941743
2018-09-01,26.820000,28.440001,25.980000,27.600000,27.600000,21295117
2018-10-01,28.000000,28.219999,22.570000,24.980000,24.980000,38421728
2018-11-01,25.180000,29.389999,24.180000,29.000000,29.000000,27576136
2018-12-01,29.000000,29.350000,23.500000,25.959999,25.959999,24091077
2019-01-01,25.959999,29.830000,24.750000,29.670000,29.670000,22531444
2019-02-01,29.790001,35.500000,29.750000,33.110001,33.110001,28166347
2019-03-01,33.599998,34.349998,30.860001,32.209999,32.209999,27259199
2019-04-01,32.439999,34.110001,31.290001,32.160000,32.160000,18047628
2019-05-01,32.139999,41.470001,32.139999,39.900002,39.900002,32894809
2019-06-01,39.810001,41.439999,38.509998,39.689999,39.689999,16177586
2019-07-01,39.689999,47.430000,39.450001,45.410000,45.410000,24699368
2019-08-01,45.259998,45.279999,41.770000,44.750000,44.750000,34864907
2019-09-01,44.750000,44.919998,41.400002,43.209999,43.209999,24209700
2019-10-01,43.450001,48.090000,41.799999,46.900002,46.900002,24051703
2019-11-01,47.000000,51.070000,46.639999,50.049999,50.049999,19599139
2019-12-01,50.049999,50.830002,48.279999,48.509998,48.509998,30589344
2020-01-01,48.509998,52.709999,43.400002,44.330002,44.330002,34299783
2020-02-01,44.369999,48.060001,31.670000,34.250000,34.250000,43280707
2020-03-01,34.400002,36.650002,9.260000,15.750000,15.750000,146927308
2020-04-01,15.300000,22.780001,13.530000,20.240000,20.240000,130968176
2020-05-01,19.500000,19.559999,12.800000,15.900000,15.900000,138981974
2020-06-01,15.990000,23.549999,15.610000,16.950001,16.950001,201540479
2020-07-01,17.260000,18.450001,15.020000,15.110000,15.110000,92539016
2020-08-01,15.440000,18.200001,15.020000,17.600000,17.600000,98939469
2020-09-01,17.440001,19.480000,15.210000,15.690000,15.690000,98007156
2020-10-01,15.560000,16.820000,15.210000,16.770000,16.770000,58412461
